client,purchase_date,product,price
Michael Wilkerson,2022-08-10,Vacuum cleaner,346
Russell Hill,2022-08-10,Microwave oven,446
Michael Galloway,2022-08-10,Phone,1042
Tom Gonzalez,2022-08-10,TV,2438
Ricky Romero,2022-08-10,Phone,424
Kyle Wilcox,2022-08-10,TV,1129
Tara King,2022-08-10,Phone,1062
Lauren Hawkins,2022-08-10,TV,1373
Jose Johnson,2022-08-10,Vacuum cleaner,170
Kristen Walter,2022-08-10,Phone,721
William Hays,2022-08-10,Phone,273
Tanya Williams,2022-08-10,Vacuum cleaner,136
Kelly Nicholson,2022-08-10,Microwave oven,528
Ashley May,2022-08-10,Microwave oven,531
Tom Robinson,2022-08-10,Laptop,3339
Alicia Morrison,2022-08-10,Phone,651
James Alexander,2022-08-10,Laptop,3287
Nicholas Holt,2022-08-10,Vacuum cleaner,203
Sally Rodriguez,2022-08-10,Phone,1470
Ashley Ramirez,2022-08-10,coffee machine,1629
Kathy Brown,2022-08-10,Phone,206
Douglas Thompson,2022-08-10,Laptop,1853
Rachel Lewis,2022-08-10,Microwave oven,101
Ashley Hunter,2022-08-10,Phone,195
Paul Reed,2022-08-10,Vacuum cleaner,110
Austin Vasquez,2022-08-10,Phone,299
Donald Conner,2022-08-10,Vacuum cleaner,678
Rhonda Johnson,2022-08-10,TV,1495
Mary Wong,2022-08-10,Phone,1324
Cory Bray,2022-08-10,TV,856
Debra Chung,2022-08-10,TV,1700
Derek Curtis,2022-08-10,Phone,173
Autumn Thompson,2022-08-10,Phone,1300
Jeffrey Allen,2022-08-10,Vacuum cleaner,704
Curtis Gibson,2022-08-10,Vacuum cleaner,139
Seth Cole,2022-08-10,Laptop,2876
Amanda Smith,2022-08-10,Microwave oven,548
James Dickson,2022-08-10,coffee machine,2777
Brett Bowen,2022-08-10,Phone,340
Joshua Hamilton,2022-08-10,Laptop,3461
Matthew Kennedy,2022-08-10,coffee machine,3505
Jessica Hayes,2022-08-10,Microwave oven,184
Jordan Alexander,2022-08-10,TV,1417
Michelle Moore,2022-08-10,Phone,1425
Jamie Grimes,2022-08-10,Laptop,2270
Brian Bell,2022-08-10,Phone,865
James Anderson,2022-08-10,Vacuum cleaner,419
Amy Miller,2022-08-10,Vacuum cleaner,174
Sydney Wagner,2022-08-10,Vacuum cleaner,722
Tiffany Perry,2022-08-10,Vacuum cleaner,415
Erin Ortiz,2022-08-10,TV,1577
Elizabeth Little,2022-08-10,Laptop,2693
Ann Morales,2022-08-10,Vacuum cleaner,769
Dana Clark,2022-08-10,Microwave oven,389
Christopher Cuevas,2022-08-10,Microwave oven,360
Denise Ewing,2022-08-10,Microwave oven,170
Tyler Butler,2022-08-10,TV,894
Dawn Reyes,2022-08-10,Laptop,1500
James Carr,2022-08-10,Microwave oven,380
Noah Ryan,2022-08-10,coffee machine,2507
John Jennings,2022-08-10,TV,840
Thomas Marshall,2022-08-10,TV,1296
Susan Hahn,2022-08-10,TV,1110
Austin Diaz,2022-08-10,coffee machine,1572
Ryan Moore,2022-08-10,coffee machine,3132
Carlos Terry,2022-08-10,Vacuum cleaner,158
Kelly Jordan,2022-08-10,Laptop,912
Madison Gonzalez,2022-08-10,Laptop,2625
Keith Williams,2022-08-10,Phone,367
David Pena,2022-08-10,Microwave oven,337
Melissa Graham,2022-08-10,Phone,1220
Amy Watson,2022-08-10,Phone,1434
Latoya Bennett,2022-08-10,coffee machine,4111
William Martin,2022-08-10,TV,1332
Tiffany Bradley,2022-08-10,Vacuum cleaner,620
David Klein,2022-08-10,Laptop,1001
Keith Morgan,2022-08-10,Microwave oven,469
Dillon Johnson,2022-08-10,Laptop,3318
Joel Bradley,2022-08-10,Microwave oven,137
Melissa Garcia,2022-08-10,Vacuum cleaner,88
Rachel Frank,2022-08-10,Vacuum cleaner,377
Kimberly Ruiz,2022-08-10,Laptop,2632
Catherine Mays,2022-08-10,Laptop,1844
Jesse Spencer,2022-08-10,coffee machine,1469
Timothy Evans,2022-08-10,coffee machine,800
Rebekah Benson,2022-08-10,Laptop,1694
Patricia Reyes,2022-08-10,Phone,439
William Griffin,2022-08-10,Phone,1427
Jonathan Carter,2022-08-10,Vacuum cleaner,353
Marie Morrow,2022-08-10,Phone,1194
Marie Morrow,2022-08-10,Laptop,788
Emily Jones,2022-08-10,Vacuum cleaner,546
Larry Warren,2022-08-10,TV,734
Karen Schneider,2022-08-10,coffee machine,4618
Lauren Cole,2022-08-10,Microwave oven,169
Alyssa Wilkins,2022-08-10,Phone,523
Kevin Mullen,2022-08-10,Phone,998
Elizabeth Brady,2022-08-10,Microwave oven,394
Kristen Lopez,2022-08-10,Laptop,1164
Ronald King,2022-08-10,coffee machine,1957
client,purchase_date,product,price
Kelly Gomez,2022-08-10,coffee machine,1008
Daisy Mcfarland,2022-08-10,Laptop,2767
Ashley Schneider,2022-08-10,Vacuum cleaner,690
Brian Yates,2022-08-10,Microwave oven,212
Kevin Barajas,2022-08-10,coffee machine,3547
Brittney Harding,2022-08-10,Laptop,1826
William Lee,2022-08-10,coffee machine,4835
Scott Hurst,2022-08-10,Microwave oven,553
Patricia Foster,2022-08-10,Laptop,927
Victoria Oliver,2022-08-10,Vacuum cleaner,368
Yvonne Friedman,2022-08-10,coffee machine,1780
Richard Campbell,2022-08-10,Vacuum cleaner,343
Gail Gomez,2022-08-10,Phone,866
Melanie Noble,2022-08-10,coffee machine,3747
Jonathan Bean,2022-08-10,Laptop,742
Roger Poole,2022-08-10,Phone,1467
Carmen Sanchez,2022-08-10,Phone,741
Stephen Pollard,2022-08-10,Laptop,916
Crystal Williams,2022-08-10,Microwave oven,496
Bill Mcdonald,2022-08-10,Phone,1299
John Gonzales,2022-08-10,coffee machine,3620
Melissa Sharp,2022-08-10,Microwave oven,282
Rebecca Johnson,2022-08-10,Vacuum cleaner,576
Crystal Horn,2022-08-10,Phone,764
Alison Scott,2022-08-10,Laptop,2269
Melanie Hughes,2022-08-10,TV,2284
Megan Atkins,2022-08-10,coffee machine,3211
William Aguilar,2022-08-10,TV,1070
Christina Wallace,2022-08-10,Laptop,2272
Jessica Zavala,2022-08-10,Vacuum cleaner,745
Andrew Garcia,2022-08-10,Laptop,1692
David Sharp,2022-08-10,Phone,1319
Jonathan Reynolds,2022-08-10,Microwave oven,558
Jessica Scott,2022-08-10,Microwave oven,323
Pamela Juarez,2022-08-10,Laptop,2364
Tiffany Sanders,2022-08-10,Microwave oven,371
Leah Brooks,2022-08-10,Phone,1036
Frank Williams,2022-08-10,Vacuum cleaner,684
Yolanda Taylor,2022-08-10,Phone,584
Lindsay Rocha,2022-08-10,TV,1317
Tyler Vaughan,2022-08-10,Vacuum cleaner,520
Jason Anderson,2022-08-10,coffee machine,1918
Jared Carter,2022-08-10,coffee machine,3009
Justin Estrada,2022-08-10,TV,1582
Antonio Walls,2022-08-10,coffee machine,3529
Matthew Harrison,2022-08-10,Phone,1078
Amanda Gonzales,2022-08-10,TV,559
Laura Love,2022-08-10,Microwave oven,243
Jonathan Schaefer,2022-08-10,coffee machine,3173
Jeffrey Watson,2022-08-10,coffee machine,3520
Kimberly Harper,2022-08-10,Microwave oven,233
Scott Yang,2022-08-10,coffee machine,2094
Michelle Martinez,2022-08-10,Vacuum cleaner,554
Shannon Hill,2022-08-10,TV,1707
Ronnie Smith,2022-08-10,Laptop,536
Tara Johnston,2022-08-10,coffee machine,2763
Sara Adams,2022-08-10,Vacuum cleaner,535
Alejandro Marsh,2022-08-10,Laptop,2007
Lauren Roberson,2022-08-10,TV,2230
Daniel Gibson,2022-08-10,Vacuum cleaner,780
Lauren Mccarthy,2022-08-10,Phone,778
George Durham,2022-08-10,Laptop,564
Eric Black,2022-08-10,Microwave oven,256
Diana White,2022-08-10,Laptop,587
Michelle Watts,2022-08-10,Laptop,2841
Tammy Vargas,2022-08-10,Laptop,1256
Crystal Phillips,2022-08-10,coffee machine,1476
Anne Dunn,2022-08-10,Vacuum cleaner,375
Anthony Duran,2022-08-10,TV,2017
Thomas Cross,2022-08-10,TV,871
Kelly Jimenez,2022-08-10,Microwave oven,326
Angel Jones,2022-08-10,Microwave oven,139
Eric Young,2022-08-10,Vacuum cleaner,629
Charlotte Rivera,2022-08-10,Phone,1452
Jay Chapman,2022-08-10,Microwave oven,522
Daniel Martinez,2022-08-10,coffee machine,411
Laurie Mills,2022-08-10,Laptop,1187
Charles Owens,2022-08-10,Laptop,804
Chelsea Page,2022-08-10,Vacuum cleaner,436
Ronald Walters,2022-08-10,Microwave oven,201
Joyce Parker,2022-08-10,coffee machine,2222
Debbie Brooks,2022-08-10,Microwave oven,116
Charles Hunter,2022-08-10,TV,2276
Scott West,2022-08-10,Microwave oven,443
Jason Williamson,2022-08-10,Vacuum cleaner,269
Jodi Evans,2022-08-10,Microwave oven,222
Angela Sharp,2022-08-10,Phone,1373
Mark Valencia,2022-08-10,TV,1263
Allison Garcia,2022-08-10,Microwave oven,541
Miguel Miller,2022-08-10,TV,1301
Mark Wilson,2022-08-10,Phone,821
Ryan Valdez,2022-08-10,coffee machine,2496
Tracy Warren,2022-08-10,Phone,166
Kimberly Ramirez,2022-08-10,Vacuum cleaner,102
Marvin Martin,2022-08-10,Phone,541
Gabriel Navarro,2022-08-10,Vacuum cleaner,429
Sarah Rodriguez,2022-08-10,Laptop,726
Jeffrey Freeman,2022-08-10,Vacuum cleaner,258
Kenneth Ramsey,2022-08-10,Microwave oven,428
Jeffrey Lee,2022-08-10,Microwave oven,493
client,purchase_date,product,price
Mary Miller,2022-08-10,Phone,919
Susan Reed,2022-08-10,TV,513
Kathleen Mclaughlin,2022-08-10,TV,1649
Pamela Fisher,2022-08-10,Laptop,2795
Brian Baxter,2022-08-10,Phone,729
John Curtis,2022-08-10,Phone,682
Lisa Torres,2022-08-10,Laptop,2956
Rachel Harris,2022-08-10,Laptop,542
Kevin Cooke,2022-08-10,Phone,736
Ronald Lutz,2022-08-10,Vacuum cleaner,99
Billy Lewis,2022-08-10,TV,1698
Jonathan Taylor,2022-08-10,TV,1031
Russell Hayes,2022-08-10,TV,515
Gabriela Maldonado,2022-08-10,Vacuum cleaner,197
Gloria Costa,2022-08-10,Laptop,2224
Jill Fisher,2022-08-10,Phone,1399
Charles Holt,2022-08-10,Vacuum cleaner,637
Samuel Cobb,2022-08-10,Laptop,2116
Joshua Johnson,2022-08-10,Phone,1139
Joshua Johnson,2022-08-10,Microwave oven,418
Kayla Blackwell,2022-08-10,Laptop,3333
Tina Church,2022-08-10,TV,770
Joshua Arellano,2022-08-10,Phone,1308
John Burns,2022-08-10,TV,1527
Christopher Turner,2022-08-10,Phone,609
Jose Gonzalez,2022-08-10,Microwave oven,342
Cynthia Casey,2022-08-10,Laptop,892
Cynthia Casey,2022-08-10,Laptop,3380
Kelly Washington,2022-08-10,Phone,841
Timothy Shaffer,2022-08-10,Vacuum cleaner,170
Whitney Gutierrez,2022-08-10,Microwave oven,386
Mark Farrell,2022-08-10,TV,1795
Jose Oliver,2022-08-10,TV,1074
Troy Mccullough,2022-08-10,TV,1340
Brandon Morris,2022-08-10,Vacuum cleaner,582
Jose Price,2022-08-10,Microwave oven,581
Melissa Brown,2022-08-10,Vacuum cleaner,432
Harold Vazquez,2022-08-10,coffee machine,4287
Melissa Hartman,2022-08-10,Microwave oven,128
Michaela Warren,2022-08-10,Laptop,3115
Michael Perry,2022-08-10,Phone,1320
David Dickerson,2022-08-10,Microwave oven,452
Vernon Rodriguez,2022-08-10,coffee machine,911
Christopher Watson,2022-08-10,Phone,981
William Hurst,2022-08-10,Phone,952
Kathryn Hampton,2022-08-10,Vacuum cleaner,289
Jerry Gilbert,2022-08-10,Laptop,1247
Natasha Butler,2022-08-10,Microwave oven,354
Curtis Alvarado,2022-08-10,Microwave oven,509
Julia Clark,2022-08-10,Laptop,605
Steven Jackson,2022-08-10,Microwave oven,583
David Ramos,2022-08-10,Phone,535
Jennifer Suarez,2022-08-10,TV,990
Dean Nelson,2022-08-10,coffee machine,1521
Anthony Campbell,2022-08-10,TV,1196
Carrie Owens,2022-08-10,Phone,391
Samantha Rogers,2022-08-10,Phone,550
Kevin Burke,2022-08-10,Laptop,583
Heather Anderson,2022-08-10,Phone,1395
Mark Rosales,2022-08-10,Phone,541
Derek Solis,2022-08-10,Vacuum cleaner,767
Betty Brooks,2022-08-10,Laptop,3121
Barbara Bowen,2022-08-10,Microwave oven,491
Shawn Brooks,2022-08-10,Phone,200
Daniel Cross,2022-08-10,TV,1484
Tricia Robertson,2022-08-10,Phone,267
Melissa Harper,2022-08-10,Microwave oven,555
Carl Wilson,2022-08-10,Vacuum cleaner,303
Michael Herrera,2022-08-10,Microwave oven,338
Scott Porter,2022-08-10,coffee machine,2094
Emma Christian,2022-08-10,Laptop,2792
Sean Chavez,2022-08-10,Microwave oven,402
Jeff Hernandez,2022-08-10,Phone,575
Jerry Johnson,2022-08-10,Phone,1402
Gail Franklin,2022-08-10,Vacuum cleaner,106
David Parsons,2022-08-10,Vacuum cleaner,604
Donald Pineda,2022-08-10,Vacuum cleaner,364
Roger Faulkner,2022-08-10,Vacuum cleaner,665
Kimberly Phillips,2022-08-10,Phone,970
Rita Pennington,2022-08-10,Phone,1439
Kristina Ramirez,2022-08-10,Phone,526
Jeffrey Singleton,2022-08-10,Microwave oven,165
Cynthia Stone,2022-08-10,TV,1126
Johnny Short,2022-08-10,Microwave oven,525
Stephanie Dalton,2022-08-10,Vacuum cleaner,450
Stacey Mcgrath,2022-08-10,Laptop,1736
Amanda Padilla,2022-08-10,Phone,532
Deanna Castillo,2022-08-10,coffee machine,1802
Brandy Watson,2022-08-10,Phone,1373
Amy Hughes,2022-08-10,TV,2226
Megan Arnold,2022-08-10,Vacuum cleaner,137
Alison Chambers,2022-08-10,Microwave oven,255
Michael Daniels,2022-08-10,Microwave oven,341
Jennifer Rubio,2022-08-10,Laptop,2247
Angela Melton,2022-08-10,Laptop,2082
Ronald Morales,2022-08-10,Microwave oven,104
Tom Ryan,2022-08-10,Phone,1040
Kaitlin Hanson,2022-08-10,Microwave oven,329
Alyssa Tucker,2022-08-10,Laptop,3467
Kaitlyn Hurst,2022-08-10,TV,1248
client,purchase_date,product,price
Sean Davis,2022-08-10,Laptop,957
Sean Davis,2022-08-10,Phone,1139
Jonathan Briggs,2022-08-10,Microwave oven,205
Ashley Smith,2022-08-10,TV,1554
Taylor Hines,2022-08-10,Laptop,2751
Robert Mclean,2022-08-10,coffee machine,675
Katie Nguyen,2022-08-10,coffee machine,513
Antonio Cohen,2022-08-10,coffee machine,645
Elizabeth Jackson,2022-08-10,Phone,1415
Daniel Holder,2022-08-10,TV,1220
Michael Myers,2022-08-10,TV,1697
Ryan Reynolds,2022-08-10,Phone,1124
Kevin Bradley,2022-08-10,Laptop,637
Colin Harris,2022-08-10,Laptop,3025
Mary Adams,2022-08-10,Vacuum cleaner,511
Donna Travis,2022-08-10,Laptop,1912
Alan Gilbert,2022-08-10,TV,1578
Darryl Johnson,2022-08-10,Laptop,1271
Miguel Snow,2022-08-10,Microwave oven,321
Phillip Rogers,2022-08-10,coffee machine,459
Shelly Trevino,2022-08-10,TV,594
Mary Sexton,2022-08-10,Laptop,3126
Nathaniel Coffey,2022-08-10,Laptop,1027
Darren Joyce,2022-08-10,TV,1671
Anthony Hoffman,2022-08-10,coffee machine,638
Brenda Curtis,2022-08-10,coffee machine,3193
David Montgomery,2022-08-10,Microwave oven,135
Billy Tate,2022-08-10,coffee machine,2662
Jeffrey Tapia,2022-08-10,TV,2251
Danielle Kline,2022-08-10,Microwave oven,119
Derrick Chen,2022-08-10,Microwave oven,362
Kenneth Harris,2022-08-10,Phone,395
Kelly Small,2022-08-10,Laptop,2290
Nicole Howell,2022-08-10,Vacuum cleaner,155
Sandra Armstrong,2022-08-10,TV,1133
Lori Scott,2022-08-10,Vacuum cleaner,266
Alan Kemp,2022-08-10,Microwave oven,191
Brandy Cooper,2022-08-10,Microwave oven,422
